signal, time
-501223.64338036766, 1669203949.2751677
-1642380.123237444, 1669203950.2752213
-2306653.231462712, 1669203951.275261
-2076126.7031535096, 1669203952.275299
-1559783.365937967, 1669203953.2753348
-1060177.7744899222, 1669203954.2753701
-618758.7686422288, 1669203955.275406
-302366.87257254, 1669203956.275441
-156888.4241284511, 1669203957.2754757
-75814.06184808267, 1669203958.2755105
97449.74212630924, 1669203959.275545
361225.9683525515, 1669203960.2755802
552823.2178787512, 1669203961.2756147
572750.971765097, 1669203962.2756493
524471.9715931958, 1669203963.2756832
567634.2027404906, 1669203964.2757182
701656.2825064702, 1669203965.2757528
778292.5705463977, 1669203966.2757976
712001.4831893994, 1669203967.2758365
596727.36894408, 1669203968.2758777
572267.18405059, 1669203969.2759173
635833.0276572619, 1669203970.2759593
658442.2788751761, 1669203971.2759988
567379.3054011456, 1669203972.2760375
440021.5886002599, 1669203973.2760975
393689.0823944215, 1669203974.276138
430657.46757186734, 1669203975.2761772
439594.2526791348, 1669203976.2762165
349034.967164527, 1669203977.276257
225566.25544372096, 1669203978.2762966
180225.82131294292, 1669203979.2763355
216232.21575308527, 1669203980.2763746
228745.10626859416, 1669203981.2764132
152742.9419926724, 1669203982.2764518
52373.542887659765, 1669203983.2764912
25694.403427519494, 1669203984.2765303
67073.33735854259, 1669203985.276569
83397.89402542122, 1669203986.2766078
26253.707884871543, 1669203987.2766485
-47497.33061674049, 1669203988.2766867
-60501.95265779386, 1669203989.2767253
-17416.596005276086, 1669203990.2767632
6976.090428793771, 1669203991.2768018
-29297.93834974577, 1669203992.2768404
-81671.04397209002, 1669203993.2768788
-85202.54743706809, 1669203994.2769172
-42487.41137314456, 1669203995.2769575
-15633.064977644744, 1669203996.2769966
-40507.45038004957, 1669203997.277071
-82552.16264942629, 1669203998.277111
-85274.83777859692, 1669203999.2771494
-45976.57834045735, 1669204000.2771883
-17624.060203462403, 1669204001.2772272
-34489.739353807265, 1669204002.2772663
-65902.26228672522, 1669204003.277305
-61733.20637626046, 1669204004.2773428
-25226.87883369281, 1669204005.2773817
-3113.2291022190075, 1669204006.2774203
-16949.768306226848, 1669204007.2774587
-39551.97357900551, 1669204008.2774973
-36337.5257565986, 1669204009.2775354
-9848.21829108288, 1669204010.2775738
7810.484352314104, 1669204011.2776136
-663.6631644525896, 1669204012.277652
-17457.450706437146, 1669204013.2776897
-17442.61267655978, 1669204014.2777278
-263.0101962968147, 1669204015.2777662
12813.22733459244, 1669204016.2778046
6564.880444602277, 1669204017.2778428
-9011.69329353922, 1669204018.2778811
-11769.00156720324, 1669204019.2779217
2535.2080151123296, 1669204020.2779608
13795.424566937794, 1669204021.2779996
6491.567825516783, 1669204022.2780383
-6562.187571679453, 1669204023.2780764
-6008.149753246892, 1669204024.2781155
4432.272803774038, 1669204025.2781596
9205.337640722391, 1669204026.2781982
3974.2150149646513, 1669204027.2782376
-2128.6717964710188, 1669204028.2782767
-1387.9350689691423, 1669204029.278316
3074.8800245702223, 1669204030.2783546
6351.621814235378, 1669204031.2783926
6954.30013860783, 1669204032.2784302
4929.284385158418, 1669204033.2784684
2245.438274302957, 1669204034.2785063
2610.159328209344, 1669204035.278544
5992.137370418672, 1669204036.278581
6918.407864005187, 1669204037.2786188
1886.8232738169247, 1669204038.2786567
-4126.821078205051, 1669204039.2786942
-2929.127861678612, 1669204040.2787316
1591.8856443482532, 1669204041.2787836
1305.904723813548, 1669204042.2788262
-1780.8809261147385, 1669204043.278868
-2170.0866492209284, 1669204044.2789106
-409.7579668113547, 1669204045.278953
179.9698337231789, 1669204046.278995
1439.4185355180537, 1669204047.279037
4775.403233982143, 1669204048.2790787
5481.529404731833, 1669204049.2791207
405.2003134869288, 1669204050.2791634
-3052.968483133302, 1669204051.2792053
3217.628369682013, 1669204052.2792473
11709.44600551562, 1669204053.2792892
8883.4400590902, 1669204054.2793317
-2653.334416002943, 1669204055.279374
-8319.501654134736, 1669204056.279416
-3764.2826581181007, 1669204057.2794585
3753.8345905053866, 1669204058.279501
5714.831887513075, 1669204059.2795448
835.7635468826736, 1669204060.2795875
-3061.675018649673, 1669204061.2796307
-1947.8655296518757, 1669204062.2796738
-180.01409408075574, 1669204063.279717
-3122.12047592318, 1669204064.2797592
-10881.42439302871, 1669204065.2798018
-16505.368701739513, 1669204066.2798488
-10888.207473989793, 1669204067.2798924
3371.0281937999102, 1669204068.2799358
9132.657465572576, 1669204069.2799795
-905.8944527947924, 1669204070.2800226
-9539.365268407011, 1669204071.2800658
-1267.2058774595578, 1669204072.2801096
11547.586669106213, 1669204073.280308
9398.62777935435, 1669204074.280352
-3394.5225704532954, 1669204075.280395
-8930.174887311186, 1669204076.2804375
-2692.340215389292, 1669204077.2804794
4283.580858596629, 1669204078.2805219
2051.0897037109607, 1669204079.2805693
-5076.912372694332, 1669204080.280638
-7294.191833101239, 1669204081.280681
-1615.3049381495507, 1669204082.2807236
6266.877384204796, 1669204083.2807658
6445.138247978397, 1669204084.280808
-1468.602582206263, 1669204085.2808497
-7782.571704634039, 1669204086.2808914
-4059.225356840204, 1669204087.2809336
6438.476306925997, 1669204088.2809758
9638.130141742324, 1669204089.2810564
1140.518802693776, 1669204090.2811372
-6254.476761872723, 1669204091.2811801
-189.9061541478893, 1669204092.2812223
12451.74915151957, 1669204093.2812643
12648.244655092289, 1669204094.2813063
344.62997609523336, 1669204095.2813487
-5513.693426209418, 1669204096.281391
2316.739100635207, 1669204097.281433
10909.63323425247, 1669204098.2814755
7870.242164406719, 1669204099.2815177
-1365.7684960517083, 1669204100.2815604
-6032.117057571012, 1669204101.2816024
-3595.0947004799104, 1669204102.281646
2315.843293675667, 1669204103.2816882
3763.938506616618, 1669204104.2817314
-2843.266737959988, 1669204105.2817738
-9371.042354304074, 1669204106.2818155
-6840.886296548591, 1669204107.2818575
841.0447890465271, 1669204108.2819
2418.942982629141, 1669204109.2819428
-4800.147296572561, 1669204110.2819846
-9587.945112818088, 1669204111.2820275
-1983.2761755540432, 1669204112.2820706
9242.789679643478, 1669204113.282113
8622.678593017255, 1669204114.2821555
-2120.2032110615864, 1669204115.282198
-6771.910462838356, 1669204116.28224
774.493521626033, 1669204117.2822816
7499.07108485653, 1669204118.2823236
3490.0803964193256, 1669204119.2823663
-5224.614431232546, 1669204120.2824087
-9298.942249284946, 1669204121.282451
-4955.209025976056, 1669204122.2825065
2921.5939649129587, 1669204123.2825549
5562.670628556125, 1669204124.2825928
528.3610508364357, 1669204125.282631
-6427.928311818478, 1669204126.2826684
-5668.058926680124, 1669204127.282707
1814.1420739472053, 1669204128.2827475
3840.848290290372, 1669204129.2827857
-2309.943312594195, 1669204130.282824
-6996.158286921414, 1669204131.2828617
-2272.029743582785, 1669204132.2828999
5674.3846578055045, 1669204133.282938
4199.367161020469, 1669204134.2829766
-4192.547680012133, 1669204135.2830153
-6187.098834849272, 1669204136.2830532
1336.7797542481762, 1669204137.2830918
7075.7508420776985, 1669204138.2831302
4050.22782628594, 1669204139.2831683
-25.54644700677068, 1669204140.2832065
-45.39978367862295, 1669204141.2832448
82.30275629725338, 1669204142.283283
31.44420941926876, 1669204143.2833207
1654.427001288484, 1669204144.2833588
17.178762155981012, 1669204145.2833977
-5300.504301415352, 1669204146.2834358
-5722.074379831549, 1669204147.2834747
-852.0094279016786, 1669204148.2835135
929.23917425174, 1669204149.2835524
-3154.955380761494, 1669204150.2835917
-6912.801010341259, 1669204151.2836304
-3670.642700043868, 1669204152.2836697
2381.757536209586, 1669204153.2837088
2041.9741850190985, 1669204154.2837481
-2811.6507457539747, 1669204155.2837884
-2703.656805336618, 1669204156.2838273
3419.878668001057, 1669204157.2838702
7719.01079638209, 1669204158.283909
6476.268471083267, 1669204159.283948
3694.562635041768, 1669204160.2839863
3111.136191328316, 1669204161.2840252
3274.420484950634, 1669204162.2840636
3473.43568781516, 1669204163.2851741
5440.944318107894, 1669204164.2852383
8143.036817899752, 1669204165.2852807
9242.707651862738, 1669204166.285322
12622.60694096587, 1669204167.2853625
23053.189384022226, 1669204168.285402
33641.73922629974, 1669204169.2854414
37040.84315600124, 1669204170.285482
38670.85411014363, 1669204171.2855203
42901.6817455, 1669204172.28556
42660.80418471857, 1669204173.2855997
32012.422856041747, 1669204174.2856393
17005.50549838962, 1669204175.2856796
7122.078229646275, 1669204176.2857206
-393.4031418803006, 1669204177.285759
-12863.152478258053, 1669204178.285798
-26105.553289572978, 1669204179.2858374
-34519.60315871502, 1669204180.2858763
-40743.117624127706, 1669204181.2859166
-47411.602348173205, 1669204182.2859564
-53016.79576344286, 1669204183.2859957
-55972.944148186805, 1669204184.286035
-56568.72279618074, 1669204185.286073
-56286.75592894444, 1669204186.286112
-54911.97922276273, 1669204187.2861505
-49524.60125984568, 1669204188.2861896
-41357.55858291739, 1669204189.2862282
-35489.62891485098, 1669204190.2862682
-31019.377104577132, 1669204191.2863073
-23888.243148213784, 1669204192.2863455
-15773.68013096758, 1669204193.2863832
-9738.568059416126, 1669204194.2864213
-4050.075336541057, 1669204195.2864597
3041.8090367227696, 1669204196.2864976
9101.613497024571, 1669204197.286536
12427.09633931112, 1669204198.286575
14923.81893518663, 1669204199.2866135
18910.865084921086, 1669204200.2866538
22973.890360878373, 1669204201.2866926
23504.632868030563, 1669204202.2867317
22703.392208883783, 1669204203.28677
24325.259653993107, 1669204204.28682
25596.56017495216, 1669204205.2868638
22516.633774208, 1669204206.2869103
18238.76413328908, 1669204207.286955
18789.935485917973, 1669204208.2869992
21646.47189917469, 1669204209.2870438
20579.17018679275, 1669204210.287088
17499.71592676873, 1669204211.2871325
17811.782833600748, 1669204212.2871764
18693.258125925244, 1669204213.2872198
16735.368375337217, 1669204214.287263
14624.218162566243, 1669204215.287307
13579.56201205225, 1669204216.2873511
12061.528179376372, 1669204217.2873948
8186.4864799912575, 1669204218.2874393
4405.176592974973, 1669204219.287485
3950.294324731707, 1669204220.2875288
2831.6224154064043, 1669204221.2875724
-1833.9036319091276, 1669204222.2876155
-5104.452607330371, 1669204223.2876585
-3500.875440410197, 1669204224.2877038
-811.3097595895855, 1669204225.2877474
-1987.4356961081264, 1669204226.2877917
-3844.304093744721, 1669204227.2878358
-1869.0497710539848, 1669204228.2917569
-362.1465612574064, 1669204229.2919252
-2721.1664138713813, 1669204230.2919786
-4979.874148271888, 1669204231.292027
-3874.7015481279177, 1669204232.2920737
-1860.0305471485665, 1669204233.292121
-679.2012631498802, 1669204234.2921677
737.1959755282912, 1669204235.2922134
2252.814754559553, 1669204236.2922578
2448.0268393193087, 1669204237.2923024
417.6229122440672, 1669204238.2923546
-1297.3358998981575, 1669204239.2924
-393.724516854222, 1669204240.2924442
443.21673362465583, 1669204241.2924883
-2184.3954449496805, 1669204242.292533
-6117.3106421345465, 1669204243.2925782
-6553.838321975403, 1669204244.2926233
-5244.969683870552, 1669204245.2926688
-6399.952279416096, 1669204246.2927153
-7930.461639691847, 1669204247.292759
-4835.803332490101, 1669204248.2928224
244.73315889424865, 1669204249.292868
916.1902097903632, 1669204250.2929127
-256.05049690864666, 1669204251.2929575
1773.4916576758692, 1669204252.2930553
3888.277108740952, 1669204253.2931051
2010.98107749614, 1669204254.2931542
-980.2970639135496, 1669204255.293199
-844.5480685830879, 1669204256.293243
1926.8992496178623, 1669204257.2932873
1886.547040895172, 1669204258.2933316
-1793.6539860299297, 1669204259.2933757
-3146.3698051975293, 1669204260.2934206
-1707.4862867230868, 1669204261.2934644
-2637.29138732242, 1669204262.2935076
-5250.958087900041, 1669204263.2935512
-3741.5467697560944, 1669204264.2935953
523.5440837069905, 1669204265.2936397
662.8329157619876, 1669204266.2936845
-820.0342806296815, 1669204267.2937293
2196.0460384689195, 1669204268.2937744
4649.942273542782, 1669204269.2938185
2037.5201101447572, 1669204270.2938626
-1278.5467071613073, 1669204271.293907
-1597.2873072070197, 1669204272.2939558
-1230.5881210623877, 1669204273.294
-3139.071751607385, 1669204274.2940443
-3329.0077108059804, 1669204275.29409
1067.482117191295, 1669204276.294136
5327.839076742057, 1669204277.2941809
3404.372432075631, 1669204278.294225
-1434.928131859102, 1669204279.2942686
-1304.6683609282138, 1669204280.2943127
579.5148259271266, 1669204281.2943568
-2521.677826113672, 1669204282.2944007
-5946.047969260211, 1669204283.2944448
-3498.840606845044, 1669204284.2944884
-164.73065141852123, 1669204285.2945325
-313.3652078496428, 1669204286.2945762
-2042.1565790676843, 1669204287.2946215
-1214.4832485101197, 1669204288.2946672
